"Poppy Locky","P/PO/poppy locky/","29379"
"Pothole Percy","P/PO/pothole percy/","26383"
"Prince of Persia","P/PR/prince of p23578/","23578"
"Project FLAK","P/PRO/project flak/","19804"
"Pullout","P/PS/pullout/","27246"
"Puralax!","P/PS/puralax!/","28211"
"Puzzle Bobble","P/PUZ/puzzle bobble/","30220"
"PuzzleWuzzle","P/PUZ/puzzlewuzzle/","29514"
"Qwak","Q/qwak/","26301"
"Rabbit Runner","R/R/rabbit runner/","29590"
"Randoom","R/R/randoom/","30194"
"Redrunner - The Final Wormtier","R/RE/redrunner the fi/","20680"
"Relentless 64","R/RE/relentless 64/","28029"
"Rent-a-Cop Reloaded","R/RE/rent-a-cop reloa/","24848"
"Rent-a-Cop","R/RE/rent-a-cop/","24136"
"Retaliate","R/RES/retaliate/","27243"
"Revenge of the Flying Balls","R/RES/revenge of the f/","29477"
"Revenge of the Mutant Camels","R/RES/revenge of 29893/","29893"
"Ring on a String","R/RI/ring on a string/","26303"
"Rise and Shine Professor Miggles","R/RI/rise and shine p/","26857"
"Robotics","R/RO/robotics/","20636"
"Robot Jet Action","R/RO/robot jet action/","29552"
"RobotLand","R/RO/robotland  27077/","27077"
"RobotLand","R/RO/robotland  27078/","27078"
"Rocket Smash","R/RO/rocket smash/","24808"
"Rockit","R/RO/rockit/","27169"
"Rogue Burger One","R/ROD/rogue burger one/","27499"
"Rolling Coin","R/ROD/rolling coin/","30072"
"Roll","R/ROD/roll/","23626"
"Rowman","R/ROD/rowman/","27056"
"Royal Hunt, The","R/ROD/royal hunt, the/","28006"
"Ruptus","R/RU/ruptus/","30181"
"Rust'n'Steel","R/RU/rust'n'steel/","26196"
"Sam's Journey - Season Special","S/S/sam's journey se/","30214"
"Santa la Vista","S/S/santa la vista/","29668"
"Santas Funky Factory","S/S/santas funky fac/","28365"
"Santa's Rats Issues","S/S/santa's rats iss/","30203"
"Santa's Snowball Challenge","S/S/santa's snowball/","29703"
"Santa's Workout","S/S/santa's workout/","30180"
"Scramble","S/SCR/scramble   19215/","19215"
"Scramble","S/SCR/scramble   25850/","25850"
"Scuttlebutt 64 - Behind Enema","S/SCR/scuttlebutt 64 b/","27491"
"Seaquest","S/SE/seaquest/","30171"
"Shadow Switcher","S/SF/shadow switcher/","27496"
"Sheep is a Key","S/SF/sheep is a key/","27164"
"Sheep Toss","S/SF/sheep toss/","19721"
"Shootin' Putin","S/SF/shootin' putin/","25775"
"Shotgate","S/SF/shotgate/","21085"
"Shotgun","S/SF/shotgun/","26437"
"Shotgun - X-Mas Edition","S/SF/shotgun x-mas ed/","26962"
"Sidelines","S/SI/sidelines/","27565"
"SID Hero","S/SI/sid hero/","27100"
"SimoneSays! BASIC","S/SI/simonesays! basi/","29049"
"Simon","S/SI/simon      26125/","26125"
"Sir Ababol","S/SI/sir ababol/","24158"
"Sky Diving","S/SK/sky diving/","27376"
"Sky is Falling BASIC, The","S/SK/sky is falling b/","27527"
"Slarti and Stash Space Saga, The","S/SL/slarti and stash/","18973"
"Slider Wall","S/SL/slider wall/","29556"
"Slime Deluxe","S/SL/slime deluxe/","26307"
"Slime","S/SL/slime/","26308"
"Slither","S/SL/slither    11907/","11907"
"Smack","S/SL/smack/","27533"
"Small Grid","S/SL/small grid/","29968"
"Snake Byte","S/SN/snake byte 25344/","25344"
"Snakegame","S/SN/snakegame/","28051"
"Snake","S/SN/snake      29535/","29535"
"Snek","S/SN/snek/","27312"
"Sniper","S/SN/sniper     28695/","28695"
"Sokoban 64","S/SO/sokoban 64/","25227"
"Sonic the Hedgehog","S/SO/sonic the h30200/","30200"
"Space Battle!","S/SP/space battle!/","29959"
"Space Firehawk","S/SP/space firehawk/","29763"
"Space Invaders","S/SP/space invad10100/","10100"
"Space Invaders","S/SP/space invad29781/","29781"
"Space Lords - Andromeda","S/SP/space lords andr/","23605"
"Space Orbs","S/SP/space orbs/","27735"
"Space Panic","S/SP/space panic29858/","29858"
"Space Portal","S/SP/space portal/","29967"
"Spider Climber","S/SPE/spider climber/","30332"
"Spider Fighter","S/SPE/spider fighter/","29769"
"Spike C64 Dislike","S/SPE/spike c64 dislik/","23948"
"Spikes","S/SPE/spikes/","27373"
"Spilldown II","S/SPE/spilldown ii/","30250"
"SplatThem64","S/SPE/splatthem64/","28130"
"Spoil!","S/SPO/spoil!/","28277"
"SPRERO","S/SPO/sprero/","29696"
"Sprite Invaders","S/SPO/sprite invaders/","29674"
"Spyders","S/SPO/spyders/","27138"
"Spy Hunt","S/SPO/spy hunt/","28206"
"Stack (My Bitch) Up","S/ST/stack (my bitch)/","26275"
"Stack Up BASIC","S/ST/stack up basic/","27037"
"Star Wars - Version 1981","S/ST/star wars versio/","27234"
"Stercore 64","S/STARCO/stercore 64/","27532"
"Stercore XD","S/STARCO/stercore xd/","27990"
"Stop Stones","S/STO/stop stones/","23946"
"Straight Up","S/STO/straight up/","30112"
"Sub Destroyer","S/STU/sub destroyer/","17160"
"Submarine Rescue","S/STU/submarine rescue/","24793"
"Super Bread Box","S/SUP/super bread box/","24140"
"Super Cobra","S/SUP/super cobra/","21661"
"Super Galax-I-Birds","S/SUP/super galax-i-bi/","27553"
